X,Y,FID,Actief,Type,Locatie,Code,Naam,Aanduiding,Straat,Wijk,Plaatsnaam,Gemeente,Beheerder,Objectgroe,Typenummer,Bouwjaar,Levensduur
4.364625024222012,52.012829675846788,56,TRUE,Speelplek,1108-34 - Harmenkokslaan,1108-34,Harmenkokslaan,Speelplaats,Harmenkokslaan,Binnenstad,Delft,Delft,Gemeente, , ,2014,12
4.340605030755122,51.993241939461114,57,TRUE,Speelplek,2503-17 - Haydenlaan fitnessplein,2503-17,Haydenlaan fitnessplein,Fitness,Haydenlaan,Buitenhof,Delft,Delft,Gemeente, , ,2012,10
4.363421390171566,52.004460967990397,58,TRUE,Speelplek,2800-04 - Herenpad,2800-04,Herenpad,Speelplaats,Herenpad,Wippolder 28,Delft,Delft,Gemeente, , ,2003,15
4.357742975061147,51.993451458623213,59,TRUE,Speelplek,2406-03 - Herman Gorterhof,2406-03,Herman Gorterhof,Speel/trap,Herman Gorterhof,Voorhof 24,Delft,Delft,Gemeente, , ,2011,12
4.363344164322482,51.986942720229756,60,TRUE,Speelplek,2302-04 - Hermelijnstraat,2302-04,Hermelijnstraat,Speelplaats,Hermelijnstraat,Tanthof Oost,Delft,Delft,Gemeente, , ,2003,15
4.361426817276985,52.002429478611099,61,TRUE,Speelplek,2700-01A - Hillenlaan,2700-01A,Hillenlaan,Trapveld,Hillenlaan,Schieweg,Delft,Delft,Gemeente, , ,2008,15
4.332871369492039,52.011423970434095,62,TRUE,Speelplek,1405-03B - Hofzoom,1405-03B,Hofzoom,Speelplaats,Hofzoom,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2002,15
4.333137816507963,52.013027362351153,63,TRUE,Speelplek,1400-02 - Hoogenhouckstraat,1400-02,Hoogenhouckstraat,Speel/trap,Hoogenhouckstraat,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2018,12
4.350583883601953,52.006557430504266,64,TRUE,Speelplek,1307-24 - Hoornsestraat,1307-24,Hoornsestraat,Speelplaats,Hoornsestraat,Hof van Delft,Delft,Delft,Gemeente, , ,2010,12
4.358818814943239,51.996705380928397,65,TRUE,Speelplek,2407-06 - Isaac Da Costalaan,2407-06,Isaac Da Costalaan,Speel/trap,Isaac Da Costalaan,Voorhof 24,Delft,Delft,Gemeente, , ,2009,12
4.367140719381969,51.98257945239294,66,TRUE,Speelplek,2304-14 - Jagerstraat,2304-14,Jagerstraat,Speelplaats,Jagerstraat,Tanthof Oost,Delft,Delft,Gemeente, , ,2002,17
4.382694930850846,52.004595210161526,67,TRUE,Speelplek,2806-10 - Jan den Oudenweg,2806-10,Jan den Oudenweg,Speelplaats,Jan den Oudenweg,Wippolder 28,Delft,Delft,Gemeente, , ,2019,12
4.341742149116027,51.978682936831014,68,TRUE,Speelplek,2201-31 - Japanlaan,2201-31,Japanlaan,Speelplaats,Japanlaan,Tanthof west 22,Delft,Delft,Gemeente, , ,2003,16
4.346247920095115,51.979489461177089,69,TRUE,Speelplek,2204-31 - Jordaniestraat,2204-31,Jordaniestraat,Speelplaats,Jordaniestraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2017,12
4.344433447769123,51.979289839557907,70,TRUE,Speelplek,2204-30 - Jordanie/Libanonstraat,2204-30,Jordanie/Libanonstraat,Speelplaats,Jordaniestraat/Libanonstraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2018,15
4.349755619744442,52.003647459094466,71,TRUE,Speelplek,1306-22 - Kaarderstraat met basket,1306-22,Kaarderstraat met basket,Speel/trap,Kaaderstraat,Hof van Delft,Delft,Delft,Gemeente, , ,2001,18
4.356352438515704,51.987412729724674,72,TRUE,Speelplek,2301-03 - Kalfjeslaan trapveld,2301-03,Kalfjeslaan trapveld,Trapveld,Kalfjeslaan,Tanthof Oost,Delft,Delft,Gemeente, , ,2014,20
4.369091022912918,52.00923187351362,73,TRUE,Speelplek,2800-06 - Boka,2800-06,Boka,Speelplaats,Kanaalweg,Wippolder 28,Delft,Delft,Gemeente, , ,2009,12
4.331341210785413,51.990207324367866,74,FALSE,Speelplek,2510-01 - Zwembad Kerkpolder,2510-01,Zwembad Kerkpolder,Speelplaats,Kerkpolderweg,Buitenhof,Delft,Delft,Beheerder speelplek, , ,2007,12
4.355259978067854,52.024873595500537,75,TRUE,Speelplek,1201-WOC-02 - Kingstonstraat,1201-WOC-02,Kingstonstraat,Bewaakte speelplaats van derden,Kingstonstraat,Vrijenban 12,Delft,Delft,Beheerder speelplek (Margo), , , ,20
4.33796087276478,52.01145389737556,76,TRUE,Speelplek,1401-10 - Kinschotstraat,1401-10,Kinschotstraat,Speelplaats,Kinschotstraat,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2007,15
4.377493382955147,52.005662706738619,77,TRUE,Speelplek,2803-10 - Kloosterkade,2803-10,Kloosterkade,Speelplaats,Kloosterkade,Wippolder 28,Delft,Delft,Gemeente, , ,2019,12
4.358088230611243,51.981012069215424,78,TRUE,Speelplek,2303-26 - Kluutring,2303-26,Kluutring,Speelplaats,Kluutring,Tanthof Oost,Delft,Delft,Gemeente, , ,2003,15
4.330641891791405,52.009590115444411,79,TRUE,Speelplek,2614-06 - Kniekas,2614-06,Kniekas,Speelplaats,Kniekas,Harnaschpolder,Delft,Delft,Gemeente, , ,2012,15
4.3579860932462,51.984899915721812,80,TRUE,Speelplek,2301-06 - Koekamp,2301-06,Koekamp,Speelplaats,Koekamp,Tanthof Oost,Delft,Delft,Gemeente, , ,2011,10
4.366212483799721,52.015006519831331,81,TRUE,Speelplek,1204-06 - Koepoortstraat,1204-06,Koepoortstraat,Speelplaats,koepoortstraat,Vrijenban 12,Delft,Delft,Gemeente, , ,2004,13
4.337022616239881,51.98767010303893,82,TRUE,Speelplek,2507-07 - Koetlaan,2507-07,Koetlaan,Speel/trap,Koetlaan,Buitenhof,Delft,Delft,Gemeente, , ,2002,16
4.363587010209824,52.002731432849814,83,TRUE,Speelplek,2800-03 - Koningsveld,2800-03,Koningsveld,Speelplaats,Koningsveld,Wippolder 28,Delft,Delft,Gemeente, , ,2006,12
4.326704035178052,52.010016547587242,84,TRUE,Speelplek,2614-03 - Kopkas,2614-03,Kopkas,Speelplaats,Kopkas,Harnaschpolder,Delft,Delft,Gemeente, , ,2010,12
4.32537066514992,52.006479450532787,85,TRUE,Speelplek,2614-09 - Kortenhoeve,2614-09,Kortenhoeve,Speelplaats,Kortenhoeve,Harnaschpolder,Delft,Delft,Gemeente, , ,2015,12
4.36316338720367,51.98188323447188,86,TRUE,Speelplek,2304-19 - Kraaienstraat,2304-19,Kraaienstraat,Speelplaats,Kraaienstraat,Tanthof Oost,Delft,Delft,Gemeente, , ,2008,12
4.361700946641762,51.984515003632886,87,TRUE,Speelplek,2302-09 - Kraanvogelpad Basket,2302-09,Kraanvogelpad Basket,Basketbal,Kraanvogelpad,Tanthof Oost,Delft,Delft,Gemeente, , ,2002,15
4.34049404873578,52.008702311489209,88,TRUE,Speelplek,1402-08B - Kringloop,1402-08B,Kringloop,Basketbal,Kringloop,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2003,15
4.360621884905515,52.003020666551471,89,TRUE,Speelplek,2700-01 - Laan van van der Gaag,2700-01,Laan van van der Gaag,Speelplaats,Laan van van der Gaag,Schieweg,Delft,Delft,Gemeente, , ,2007,12
4.32526103827555,52.007461214239598,90,TRUE,Speelplek,2614-08 - Leehoeve,2614-08,Leehoeve,Speelplaats,Leehoeve,Harnaschpolder,Delft,Delft,Gemeente, , ,2015,12
4.357752438075073,51.980230161784164,91,TRUE,Speelplek,2305-23 - Leeuweriklaan,2305-23,Leeuweriklaan,Speelplaats,Leeuweriklaan,Tanthof Oost,Delft,Delft,Gemeente, , ,2013,12
4.358978910677245,51.984717674137009,92,TRUE,Speelplek,2301-33 - Lepelaarstraat trapveld,2301-33,Lepelaarstraat trapveld,Trapveld,Lepelaarstraat,Tanthof Oost,Delft,Delft,Gemeente, , ,2005,15
4.360594506675056,51.982728804833961,93,TRUE,Speelplek,2303-29 - Lepelaarstraat,2303-29,Lepelaarstraat,Speelplaats,Lepelaarstraat,Tanthof Oost,Delft,Delft,Gemeente, , ,2005,15
4.328244709889068,52.009085689640813,94,TRUE,Speelplek,2614-04 - Lessenaar,2614-04,Lessenaar,Speelplaats,Lessenaar,Harnaschpolder,Delft,Delft,Gemeente, , ,2010,15
4.34085590191374,51.982568840100768,95,TRUE,Speelplek,2201-10 - Liberiastraat,2201-10,Liberiastraat,Speelplaats,Liberiastraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2017,15
4.339141079789912,51.995485289997944,96,TRUE,Speelplek,2501-27 - Lisztstraat,2501-27,Lisztstraat,Speelplaats,Liszstraat,Buitenhof,Delft,Delft,Gemeente, , ,2017,15
4.343783620681473,52.005222184303591,97,TRUE,Speelplek,1402-20 - Lodenvloer,1402-20,Lodenvloer,Speelplaats,Lodenvloer,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2019,12
4.358871012537474,51.991590477552371,98,TRUE,Speelplek,2406-00 - Lodewijk van Deysselhof,2406-00,Lodewijk van Deysselhof,Speelplaats,Lodewijk van Deysselhof,Voorhof 24,Delft,Delft,Gemeente, , ,2002,15
4.354438394497985,52.025243112678943,99,TRUE,Speelplek,1201-14 - Lombokstraat,1201-14,Lombokstraat,Krajicek Playground,Lombokstraat,Vrijenban 12,Delft,Delft,Gemeente, , ,2007,15
4.339216941138906,51.985663943085441,100,TRUE,Speelplek,2509-41 - Loorhof De,2509-41,Loorhof De,Speelplaats,Loorhof De,Buitenhof,Delft,Delft,Gemeente, , ,2002,16
4.365928522712175,52.005585494838165,101,TRUE,Speelplek,2800-07 - Maerten Trompstraat,2800-07,Maerten Trompstraat,Speelplaats,Maerten Trompstraat,Wippolder 28,Delft,Delft,Gemeente, , ,2011,10
4.339493335279065,51.983354113800814,102,TRUE,Speelplek,2201-13 - Maliesingel,2201-13,Maliesingel,Speelplaats,Maliesingel,Tanthof west 22,Delft,Delft,Gemeente, , ,2001,16
4.345882533470556,51.986929429096151,103,TRUE,Speelplek,2509-43 - Marchall laan,2509-43,Marchall laan,Speelplaats,Marchallaan,Buitenhof,Delft,Delft,Gemeente, , ,2003,15
4.364861633156605,52.015363068372906,104,TRUE,Speelplek,1204-43 - Maria van Oosterwijckstraat,1204-43,Maria van Oosterwijckstraat,Speelplaats,Maria van Oosterwijckstraat,Vrijenban 12,Delft,Delft,Gemeente, , ,2002,15
4.348457427143924,52.015549451808525,105,TRUE,Speelplek,1301-01 - Markenplein,1301-01,Markenplein,Trapveld,Markenplein,Hof van Delft,Delft,Delft,Gemeente, , ,2012,15
4.3575198160016,52.015477512713012,106,TRUE,Speelplek,1103-21 - Mastenstraat Van der,1103-21,Mastenstraat Van der,Speelplaats,Mastenstraat Van der,Binnenstad,Delft,Delft,Gemeente, , ,2002,16
4.342856659429368,51.977634401394646,107,TRUE,Speelplek,2204-29 - Medinastraat trapveld,2204-29,Medinastraat trapveld,Trapveld,Medinastraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2012,20
4.355875044528528,51.980852103214964,108,TRUE,Speelplek,2303-31 - Meerkoetpad korfbalveld,2303-31,Meerkoetpad korfbalveld,Korfbal,Meerkoetpad,Tanthof Oost,Delft,Delft,Gemeente, , ,2006,15
4.352699127030031,51.994377658403693,109,TRUE,Speelplek,2405-07 - Menno ter Braaklaan trapveld,2405-07,Menno ter Braaklaan trapveld,korf/volley,Menno ter Braaklaan,Voorhof 24,Delft,Delft,Gemeente, , ,2003,20
4.347758068577018,51.982251415736897,110,TRUE,Speelplek,2203-23 - Mexicohof,2203-23,Mexicohof,Speelplaats,Mexicohof,Tanthof west 22,Delft,Delft,Gemeente, , ,2001,16
4.36478071746112,52.006056072092015,111,TRUE,Speelplek,2800-01 - Mijnbouwstraat,2800-01,Mijnbouwstraat,Speelplaats,Mijnbouwstraat,Wippolder 28,Delft,Delft,Gemeente, , ,2003,15
4.357279100697379,51.998211655900818,112,TRUE,Speelplek,2403-09 - Minervaplein,2403-09,Minervaplein,Speel/trap,Minervaplein,Voorhof 24,Delft,Delft,Gemeente, , ,2005,15
4.346080487858218,52.000825317882722,113,TRUE,Speelplek,1404-28 - Minette Stormstraat,1404-28,Minette Stormstraat,Speel/trap,Minette Stormstraat,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2002,15
4.330004093520387,52.012743703883551,114,TRUE,Speelplek,2614-10 - Moermantuinen,2614-10,Moermantuinen,Speelplaats,Moermantuinen,Harnaschpolder,Delft,Delft,Gemeente, , ,2013,20
4.339246364263321,52.000563758579126,115,TRUE,Speelplek,2614-01 - Molenweide,2614-01,Molenweide,Speelplaats,Molenweide,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2008,15
4.359172903955319,51.992947371824762,116,TRUE,Speelplek,2407-02 - Multatuliweg t.o.v. Lidle,2407-02,Multatuliweg t.o.v. Lidle,Speel/trap,Multatuliweg/ Heijermanlaan,Voorhof 24,Delft,Delft,Gemeente, , ,2003,15
4.373887334640536,52.00493922120566,117,TRUE,Speelplek,2801-11 - Muyskenlaan trapveld,2801-11,Muyskenlaan trapveld,Trapveld,Muyskenlaan,Wippolder 28,Delft,Delft,Gemeente, , ,2004,20
